3.222199e-06+0.000000e+00i 2.004655e-06+0.000000e+00i
3.228454e-06+0.000000e+00i 1.996964e-06+0.000000e+00i
3.206242e-06+0.000000e+00i 1.993916e-06+0.000000e+00i
3.257796e-06+0.000000e+00i 2.017889e-06+0.000000e+00i
3.200491e-06+0.000000e+00i 1.992012e-06+0.000000e+00i
3.221261e-06+0.000000e+00i 2.015249e-06+0.000000e+00i
3.254913e-06+0.000000e+00i 1.960850e-06+0.000000e+00i
3.218881e-06+0.000000e+00i 2.021234e-06+0.000000e+00i
3.230787e-06+0.000000e+00i 1.994049e-06+0.000000e+00i
3.208879e-06+0.000000e+00i 1.999319e-06+0.000000e+00i
3.258293e-06+0.000000e+00i 2.019468e-06+0.000000e+00i
3.216519e-06+0.000000e+00i 1.974105e-06+0.000000e+00i
3.212032e-06+0.000000e+00i 2.009872e-06+0.000000e+00i
3.267095e-06+0.000000e+00i 1.978494e-06+0.000000e+00i
3.217192e-06+0.000000e+00i 2.015199e-06+0.000000e+00i
3.268886e-06+0.000000e+00i 2.005938e-06+0.000000e+00i
3.200998e-06+0.000000e+00i 1.985947e-06+0.000000e+00i
3.273308e-06+0.000000e+00i 2.030124e-06+0.000000e+00i
3.205898e-06+0.000000e+00i 1.967186e-06+0.000000e+00i
3.236222e-06+0.000000e+00i 2.000412e-06+0.000000e+00i
3.265554e-06+0.000000e+00i 1.994461e-06+0.000000e+00i
3.220595e-06+0.000000e+00i 2.017429e-06+0.000000e+00i
3.286619e-06+0.000000e+00i 2.001900e-06+0.000000e+00i
3.209103e-06+0.000000e+00i 1.982697e-06+0.000000e+00i
3.271866e-06+0.000000e+00i 2.029205e-06+0.000000e+00i
3.216686e-06+0.000000e+00i 1.953483e-06+0.000000e+00i
3.239094e-06+0.000000e+00i 2.020397e-06+0.000000e+00i
3.266581e-06+0.000000e+00i 1.994035e-06+0.000000e+00i
3.234379e-06+0.000000e+00i 2.006428e-06+0.000000e+00i
3.267968e-06+0.000000e+00i 2.014783e-06+0.000000e+00i
3.223889e-06+0.000000e+00i 1.973300e-06+0.000000e+00i
3.266278e-06+0.000000e+00i 2.014084e-06+0.000000e+00i
3.236298e-06+0.000000e+00i 1.987067e-06+0.000000e+00i
3.234185e-06+0.000000e+00i 2.006376e-06+0.000000e+00i
3.272173e-06+0.000000e+00i 2.001724e-06+0.000000e+00i
3.225281e-06+0.000000e+00i 1.991758e-06+0.000000e+00i
3.266040e-06+0.000000e+00i 2.014011e-06+0.000000e+00i
3.209086e-06+0.000000e+00i 1.973293e-06+0.000000e+00i
3.280259e-06+0.000000e+00i 2.008763e-06+0.000000e+00i
3.240005e-06+0.000000e+00i 2.000855e-06+0.000000e+00i
3.231796e-06+0.000000e+00i 1.997957e-06+0.000000e+00i
3.268425e-06+0.000000e+00i 2.004161e-06+0.000000e+00i
3.222687e-06+0.000000e+00i 1.997947e-06+0.000000e+00i
3.254072e-06+0.000000e+00i 1.999705e-06+0.000000e+00i
3.218098e-06+0.000000e+00i 1.972847e-06+0.000000e+00i
3.271382e-06+0.000000e+00i 2.020414e-06+0.000000e+00i
3.241553e-06+0.000000e+00i 1.998912e-06+0.000000e+00i
3.231597e-06+0.000000e+00i 1.997310e-06+0.000000e+00i
3.250063e-06+0.000000e+00i 2.004682e-06+0.000000e+00i
3.216073e-06+0.000000e+00i 1.988493e-06+0.000000e+00i
3.259814e-06+0.000000e+00i 1.998546e-06+0.000000e+00i
3.225063e-06+0.000000e+00i 1.984296e-06+0.000000e+00i
3.253996e-06+0.000000e+00i 2.018297e-06+0.000000e+00i
3.242922e-06+0.000000e+00i 1.994329e-06+0.000000e+00i
3.241094e-06+0.000000e+00i 2.006773e-06+0.000000e+00i
3.240402e-06+0.000000e+00i 2.008126e-06+0.000000e+00i
3.203956e-06+0.000000e+00i 1.982912e-06+0.000000e+00i
3.255220e-06+0.000000e+00i 1.989755e-06+0.000000e+00i
3.210516e-06+0.000000e+00i 1.995074e-06+0.000000e+00i
3.268231e-06+0.000000e+00i 2.001090e-06+0.000000e+00i
3.230211e-06+0.000000e+00i 2.010683e-06+0.000000e+00i
3.245971e-06+0.000000e+00i 2.005452e-06+0.000000e+00i
3.213018e-06+0.000000e+00i 2.006499e-06+0.000000e+00i
3.231965e-06+0.000000e+00i 1.984138e-06+0.000000e+00i
3.231063e-06+0.000000e+00i 1.981594e-06+0.000000e+00i
3.217418e-06+0.000000e+00i 2.000306e-06+0.000000e+00i
3.259375e-06+0.000000e+00i 1.990234e-06+0.000000e+00i
3.243398e-06+0.000000e+00i 2.017349e-06+0.000000e+00i
3.234926e-06+0.000000e+00i 2.009820e-06+0.000000e+00i
3.208161e-06+0.000000e+00i 2.001095e-06+0.000000e+00i
3.250576e-06+0.000000e+00i 1.984801e-06+0.000000e+00i
3.208152e-06+0.000000e+00i 1.983939e-06+0.000000e+00i
3.229072e-06+0.000000e+00i 1.997046e-06+0.000000e+00i
3.251296e-06+0.000000e+00i 1.991265e-06+0.000000e+00i
3.254477e-06+0.000000e+00i 2.015473e-06+0.000000e+00i
3.240383e-06+0.000000e+00i 2.003152e-06+0.000000e+00i
3.207579e-06+0.000000e+00i 2.013352e-06+0.000000e+00i
3.254347e-06+0.000000e+00i 1.988606e-06+0.000000e+00i
3.214051e-06+0.000000e+00i 1.983408e-06+0.000000e+00i
3.223635e-06+0.000000e+00i 2.000339e-06+0.000000e+00i
3.242896e-06+0.000000e+00i 1.979879e-06+0.000000e+00i
3.245899e-06+0.000000e+00i 2.023360e-06+0.000000e+00i
3.267552e-06+0.000000e+00i 1.997082e-06+0.000000e+00i
3.197117e-06+0.000000e+00i 2.003531e-06+0.000000e+00i
3.267183e-06+0.000000e+00i 2.003814e-06+0.000000e+00i
3.206294e-06+0.000000e+00i 1.990860e-06+0.000000e+00i
3.221093e-06+0.000000e+00i 1.989294e-06+0.000000e+00i
3.246110e-06+0.000000e+00i 1.979247e-06+0.000000e+00i
3.245293e-06+0.000000e+00i 2.021571e-06+0.000000e+00i
3.271297e-06+0.000000e+00i 2.001859e-06+0.000000e+00i
3.220872e-06+0.000000e+00i 2.003784e-06+0.000000e+00i
3.249919e-06+0.000000e+00i 1.996080e-06+0.000000e+00i
3.203338e-06+0.000000e+00i 2.003395e-06+0.000000e+00i
3.244190e-06+0.000000e+00i 1.984893e-06+0.000000e+00i
3.247318e-06+0.000000e+00i 1.982428e-06+0.000000e+00i
3.243002e-06+0.000000e+00i 2.020142e-06+0.000000e+00i
3.270711e-06+0.000000e+00i 1.995671e-06+0.000000e+00i
3.223701e-06+0.000000e+00i 2.008737e-06+0.000000e+00i
3.260782e-06+0.000000e+00i 1.999948e-06+0.000000e+00i
3.215012e-06+0.000000e+00i 1.994031e-06+0.000000e+00i
3.245667e-06+0.000000e+00i 1.986274e-06+0.000000e+00i
3.260714e-06+0.000000e+00i 1.994506e-06+0.000000e+00i
3.239485e-06+0.000000e+00i 2.008900e-06+0.000000e+00i
3.279290e-06+0.000000e+00i 2.007261e-06+0.000000e+00i
3.227117e-06+0.000000e+00i 1.999003e-06+0.000000e+00i
3.265292e-06+0.000000e+00i 2.001975e-06+0.000000e+00i
3.228911e-06+0.000000e+00i 1.997045e-06+0.000000e+00i
3.239733e-06+0.000000e+00i 1.989726e-06+0.000000e+00i
3.276505e-06+0.000000e+00i 1.985452e-06+0.000000e+00i
